gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,countryCode,locality,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
1145682569,0daed095-478a-4af6-abf5-18acb790fbb2,http://arctos.database.museum/guid/MVZ:Mamm:115436?seid=1100027,Animalia,Chordata,Mammalia,Primates,Lorisidae,Nycticebus,Nycticebus coucang,,SPECIES,"Nycticebus coucang (Boddaert, 1785)",ID,Sumatra,8edbbde0-055e-11d8-b850-b8a03c50a862,0,102,900002,,,,,,1818-06-20T00:00:00Z,20,6,1818,2436629,2436629,PRESERVED_SPECIMEN,MVZ,Mammal specimens,MVZ:Mamm:115436,,"Museum of Vertebrate Zoology, University of California, Berkeley",1999-01-27T00:00:00Z,CC0_1_0,,Collector(s): unknown,,,2018-12-06T17:54:03.617Z,,
1142104005,5a659248-1f70-11e3-b2c5-00145eb45e9a,,Animalia,Chordata,Mammalia,Primates,Lorisidae,Nycticebus,Nycticebus coucang,,SPECIES,"Nycticebus coucang (Boddaert, 1785)",ID,Padang Sidempuan/Sumatra,23539a57-1347-4dd3-af2a-cf9478563baa,1.37801,99.27189,,,,,,,,,,,2436629,2436629,PRESERVED_SPECIMEN,MHNG,"Mammals housed at MHNG, Geneva",MHNG-MAM-831.066b,,,,CC_BY_NC_4_0,,,,,2018-12-08T12:13:36.039Z,,RECORDED_DATE_INVALID;GEODETIC_DATUM_ASSUMED_WGS84
1065385797,7a25f7aa-03fb-4322-aaeb-66719e1a9527,8fec3dba-84c1-42f8-ae11-07321977ce50,Animalia,Chordata,Mammalia,Primates,Lorisidae,Nycticebus,Nycticebus coucang,,SPECIES,"Nycticebus coucang (Boddaert, 1785)",TH,Bangkok,493fe050-055d-11d8-b84f-b8a03c50a862,13.75,100.51667,12579,,,,,,1947-11-13T00:00:00Z,13,11,1947,2436629,2436629,PRESERVED_SPECIMEN,LACM,Mammals,8477,,,,CC0_1_0,,Catalina Bird Farm,,MANAGED,2018-11-04T14:39:12.007Z,,
1065378176,7a25f7aa-03fb-4322-aaeb-66719e1a9527,7b5f4235-8d2a-4521-b52d-057f99e02624,Animalia,Chordata,Mammalia,Primates,Lorisidae,Nycticebus,Nycticebus coucang,,SPECIES,"Nycticebus coucang (Boddaert, 1785)",IN,Assam,493fe050-055d-11d8-b84f-b8a03c50a862,26,93,362489,,,,,,1947-08-04T00:00:00Z,4,8,1947,2436629,2436629,PRESERVED_SPECIMEN,LACM,Mammals,31246,,,,CC0_1_0,,"Stager, K E",,NATIVE,2018-11-04T14:39:11.976Z,,
1065340584,7a25f7aa-03fb-4322-aaeb-66719e1a9527,1976aa45-78ba-4588-82c0-1327322ff1b8,Animalia,Chordata,Mammalia,Primates,Lorisidae,Nycticebus,Nycticebus coucang,,SPECIES,"Nycticebus coucang (Boddaert, 1785)",IN,"Ledo, 12 mi E",493fe050-055d-11d8-b84f-b8a03c50a862,27.3,95.92842,18570,,,,,,1947-02-22T00:00:00Z,22,2,1947,2436629,2436629,PRESERVED_SPECIMEN,LACM,Mammals,8476,,,,CC0_1_0,,"Stager, K E",,NATIVE,2018-11-04T14:39:12.001Z,,
865738644,5a659248-1f70-11e3-b2c5-00145eb45e9a,,Animalia,Chordata,Mammalia,Primates,Lorisidae,Nycticebus,Nycticebus coucang,,SPECIES,"Nycticebus coucang (Boddaert, 1785)",ID,Padang Sidempuan/Sumatra,23539a57-1347-4dd3-af2a-cf9478563baa,1.37801,99.27189,,,,,,,,,,,2436629,2436629,PRESERVED_SPECIMEN,MHNG,"Mammals housed at MHNG, Geneva",MHNG-MAM-831.066a,,,,CC_BY_NC_4_0,,,,,2018-12-10T02:00:39.322Z,,RECORDED_DATE_INVALID;GEODETIC_DATUM_ASSUMED_WGS84
784007826,6d2cfc0a-9903-40b8-802b-403398218e4a,urn:catalog:UMMZ:Mammals:117131,Animalia,Chordata,Mammalia,Primates,Lorisidae,Nycticebus,Nycticebus coucang,,SPECIES,"Nycticebus coucang (Boddaert, 1785)",MY,"BALING,KAMPONA KELAWANG",6ea87510-0561-11d8-b851-b8a03c50a862,5.71667,100.95,4614,,,,,,1968-05-01T00:00:00Z,1,5,1968,2436629,2436629,PRESERVED_SPECIMEN,UMMZ,Mammals,117131,4682,,,CC0_1_0,,ILLAR MUUL,,NATIVE,2018-12-10T01:10:01.819Z,,
784004236,6d2cfc0a-9903-40b8-802b-403398218e4a,urn:catalog:UMMZ:Mammals:113356,Animalia,Chordata,Mammalia,Primates,Lorisidae,Nycticebus,Nycticebus coucang,,SPECIES,"Nycticebus coucang (Boddaert, 1785)",KE,NAIROBI,6ea87510-0561-11d8-b851-b8a03c50a862,-1.28333,36.81667,6816,,,,,,,,,,2436629,2436629,PRESERVED_SPECIMEN,UMMZ,Mammals,113356,MZ1873,,,CC0_1_0,,,,NATIVE,2018-12-10T01:10:00.161Z,,
735694781,75018539-6328-41de-b875-7c2e61dc1635,urn:catalog:SBMNH:MAM:8822,Animalia,Chordata,Mammalia,Primates,Lorisidae,Nycticebus,Nycticebus coucang,,SPECIES,"Nycticebus coucang (Boddaert, 1785)",PH,Tumaga,78678140-1815-11da-9544-b8a03c50a862,6.938056,122.078056,,,,,,,1968-07-10T00:00:00Z,10,7,1968,2436629,2436629,PRESERVED_SPECIMEN,SBMNH,MAM,8822,,,,CC0_1_0,,,,NATIVE,2018-12-10T09:07:21.575Z,,COORDINATE_ROUNDED
735673347,75018539-6328-41de-b875-7c2e61dc1635,urn:catalog:SBMNH:OS:2260,Animalia,Chordata,Mammalia,Primates,Lorisidae,Nycticebus,Nycticebus coucang,,SPECIES,"Nycticebus coucang (Boddaert, 1785)",US,Santa Barbara; Santa Barbara Zoological Gardens,78678140-1815-11da-9544-b8a03c50a862,34.419444,-119.663056,,,,,,,1980-08-13T00:00:00Z,13,8,1980,2436629,2436629,PRESERVED_SPECIMEN,SBMNH,OS,2260,,,,CC0_1_0,,,,NATIVE,2018-12-10T09:07:07.265Z,,COORDINATE_ROUNDED
